filename,width,height,class,xmin,ymin,xmax,ymax
22.avi_frame250000.jpeg,800,450,SmallTruck,288,149,353,234
22.avi_frame250000.jpeg,800,450,SharedTaxi,232,143,285,179
22.avi_frame250000.jpeg,800,450,SharedTaxi,165,168,276,240
8.MP4_frame3641083.jpeg,1280,720,Bus,1069,243,1169,375
8.MP4_frame3641083.jpeg,1280,720,Private,563,298,767,391
8.MP4_frame3641083.jpeg,1280,720,Private,924,327,1101,434
8.MP4_frame3641083.jpeg,1280,720,Private,339,280,466,354
8.MP4_frame3641083.jpeg,1280,720,Private,634,239,734,289
71.avi_frame70000.jpeg,800,450,Transit,411,210,545,308
71.avi_frame70000.jpeg,800,450,Truck,189,195,331,293
71.avi_frame70000.jpeg,800,450,SharedTaxi,88,196,139,241
2.MP4_frame3030326.jpeg,1280,720,Transit,763,188,824,240
2.MP4_frame3030326.jpeg,1280,720,Transit,1079,348,1280,578
2.MP4_frame3030326.jpeg,1280,720,Bus,84,206,392,380
2.MP4_frame3030326.jpeg,1280,720,Bus,61,211,127,258
2.MP4_frame3030326.jpeg,1280,720,Transit,361,229,478,357
37.avi_frame175000.jpeg,800,450,Truck,117,157,223,275
86.avi_frame155000.jpeg,800,450,Pickup,446,80,491,106
86.avi_frame155000.jpeg,800,450,Commercial,208,43,277,80
16.avi_frame35000.jpeg,800,450,SharedTaxi,502,183,591,260
16.avi_frame35000.jpeg,800,450,Transit,0,217,331,429
64.avi_frame285000.jpeg,800,450,Taxi,134,192,168,220
64.avi_frame285000.jpeg,800,450,Private,468,308,587,402
64.avi_frame285000.jpeg,800,450,SUV,108,246,207,331
64.avi_frame285000.jpeg,800,450,Private,121,223,189,261
64.avi_frame285000.jpeg,800,450,Private,94,207,144,245
64.avi_frame285000.jpeg,800,450,Truck,117,157,159,217
21.avi_frame35000.jpeg,800,450,Truck,32,112,286,276
21.avi_frame35000.jpeg,800,450,Taxi,162,203,320,294
21.avi_frame35000.jpeg,800,450,Commercial,269,139,322,179
4.MP4_frame2619024.jpeg,1280,720,Truck,1153,197,1277,367
4.MP4_frame2619024.jpeg,1280,720,SUV,671,121,755,168
29.avi_frame235000.jpeg,800,450,Private,235,148,279,180
25.avi_frame135000.jpeg,800,450,Truck,400,120,527,199
25.avi_frame135000.jpeg,800,450,Pickup,297,141,353,198
27.avi_frame275000.jpeg,800,450,Truck,230,118,302,192
58.avi_frame92962.jpeg,800,450,Truck,119,168,255,288
58.avi_frame92962.jpeg,800,450,SUV,395,238,507,301
58.avi_frame92962.jpeg,800,450,Taxi,97,202,137,245
58.avi_frame92962.jpeg,800,450,Transit,0,316,191,449
100.avi_frame280000.jpeg,800,450,Commercial,637,242,800,356
100.avi_frame280000.jpeg,800,450,SharedTaxi,496,155,674,272
100.avi_frame280000.jpeg,800,450,SUV,457,255,726,438
100.avi_frame280000.jpeg,800,450,SUV,372,169,540,259
100.avi_frame280000.jpeg,800,450,Transit,203,87,357,167
100.avi_frame280000.jpeg,800,450,Transit,115,77,211,134
100.avi_frame280000.jpeg,800,450,Truck,0,38,43,99
100.avi_frame280000.jpeg,800,450,Minivan,176,54,240,84
100.avi_frame280000.jpeg,800,450,Truck,508,63,580,99
100.avi_frame280000.jpeg,800,450,SUV,52,130,194,217
59.avi_frame45000.jpeg,800,450,Jeep,246,228,357,305
59.avi_frame45000.jpeg,800,450,Private,132,238,212,301
60.avi_frame270000.jpeg,800,450,SmallTruck,501,233,627,370
60.avi_frame270000.jpeg,800,450,Truck,97,168,201,283
14.avi_frame190000.jpeg,800,450,Truck,300,123,379,168
14.avi_frame190000.jpeg,800,450,Motorcycle,717,170,761,210
111.avi_frame95000.jpeg,800,450,Truck,320,131,780,448
111.avi_frame95000.jpeg,800,450,Private,70,156,224,247
91.avi_frame255000.jpeg,800,450,Commercial,401,63,461,102
91.avi_frame255000.jpeg,800,450,Truck,591,151,800,301
91.avi_frame255000.jpeg,800,450,SharedTaxi,582,213,800,339
91.avi_frame255000.jpeg,800,450,SharedTaxi,303,118,438,195
91.avi_frame255000.jpeg,800,450,SharedTaxi,232,131,382,214
91.avi_frame255000.jpeg,800,450,SmallTruck,176,94,312,156
91.avi_frame255000.jpeg,800,450,SUV,53,94,147,146
97.avi_frame55000.jpeg,800,450,Truck,103,54,256,156
97.avi_frame55000.jpeg,800,450,Truck,240,76,445,184
97.avi_frame55000.jpeg,800,450,SharedTaxi,325,146,490,247
4.MP4_frame2054024.jpeg,1280,720,Transit,551,132,720,219
4.MP4_frame2054024.jpeg,1280,720,Transit,204,101,303,175
4.MP4_frame2054024.jpeg,1280,720,Truck,97,93,209,173
4.MP4_frame2054024.jpeg,1280,720,Bus,1190,180,1243,243
35.avi_frame270000.jpeg,800,450,Commercial,403,215,522,309
36.avi_frame70000.jpeg,800,450,Truck,105,158,197,259
36.avi_frame70000.jpeg,800,450,SharedTaxi,516,260,615,356
36.avi_frame70000.jpeg,800,450,Private,349,337,563,448
95.avi_frame270000.jpeg,800,450,Truck,95,45,317,154
95.avi_frame270000.jpeg,800,450,Private,387,242,646,388
10.MP4_frame4579346.jpeg,1280,720,Motorcycle,1136,297,1181,365
10.MP4_frame4579346.jpeg,1280,720,Truck,1076,207,1117,268
10.MP4_frame4579346.jpeg,1280,720,Taxi,1024,268,1076,323
1.MP4_frame3245938.jpeg,1280,720,Bus,846,179,936,265
1.MP4_frame3245938.jpeg,1280,720,Transit,1155,220,1206,273
1.MP4_frame3245938.jpeg,1280,720,Bus,177,188,326,264
1.MP4_frame3245938.jpeg,1280,720,Truck,46,204,264,360
1.MP4_frame3245938.jpeg,1280,720,Taxi,814,225,886,279
100.avi_frame290000.jpeg,800,450,SUV,264,198,482,344
100.avi_frame290000.jpeg,800,450,SharedTaxi,495,156,675,270
100.avi_frame290000.jpeg,800,450,SUV,580,283,798,448
100.avi_frame290000.jpeg,800,450,Transit,200,88,355,170
100.avi_frame290000.jpeg,800,450,Transit,115,80,210,134
100.avi_frame290000.jpeg,800,450,Commercial,639,237,800,360
100.avi_frame290000.jpeg,800,450,SUV,371,169,540,261
100.avi_frame290000.jpeg,800,450,Minivan,176,52,239,83
100.avi_frame290000.jpeg,800,450,Truck,0,35,29,97
8.MP4_frame5075733.3333.jpeg,1280,720,Transit,980,536,1280,717
8.MP4_frame5075733.3333.jpeg,1280,720,Pickup,242,245,396,374
8.MP4_frame5075733.3333.jpeg,1280,720,Taxi,327,274,458,355
